num,located,located2,moni_address,lon,lat,stat,st_code,pm2_5,geom,pm10,o3,no2,co,so2
245,충북,음성읍,충청북도 음성군 음성읍 중앙로 49 읍성보건소 옥상,127.6888784,36.92884066,정좌표,043,38,0101000020E6100000EEBA6D9516EC5F4091F23040E4764240,61,0.096,0.011,0.4,0.003
225,충북,가덕면,충청북도 청주시 상당구 가덕면 보청대로 4650 가덕면사무소 앞쪽 부지,127.5483141,36.5534529,정좌표,043,32,0101000020E6100000E2DB059417E35F402DB06C8BD7464240,60,0.092,0.009,0.4,0.002
235,충북,살미면,충청북도 충주시 살미면 세성양지말길 41 살미면 행정복지센터 주차장 옆,127.9641086,36.90536434,정좌표,043,22,0101000020E6100000B6B28EF4B3FD5F40DFA18BFAE2734240,52,0.078,0.009,0.4,0.002
4,서울,강서구,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,126.835182,37.54467538,정좌표,02,40,0101000020E61000004E0D349F73B55F40A80440ECB7C54240,80,0.084,0.033,0.5,0.004
236,충북,소이면,충청북도 음성군 소이면 소이로 409 소이면전천후게이트볼장 공터,127.7576502,36.92364975,정좌표,043,16,0101000020E6100000B4B343577DF05F40B39AAE273A764240,68,0.1,0.01,0.5,0.003
247,충북,중앙탑면,충청북도 충주시 중앙탑면 기업도시로 237 서충주 국공립어린이집 측면부지,127.8229539,37.01681552,정좌표,043,32,0101000020E610000067A7D546ABF45F408D3BCE0227824240,58,0.117,0.016,0.6,0.002
302,대구,내당동,대구광역시 서구 서대구로3길 46 내당4동 행정복지센터 3층 옥상 (내당동),128.5518431,35.85902049,정좌표,053,43,0101000020E6100000BF60DCB2A81160406B922762F4ED4140,84,0.12,0.014,0.3,0.002
307,대구,산격동,대구광역시 북구 연암로 40 시청별관 105동 3층 옥상 (산격동),128.6014574,35.89267855,정좌표,053,30,0101000020E6100000FDDD96233F1360409C0B6D4A43F24140,70,0.108,0.011,0.3,0.003
216,대전,노은동,대전 유성구 노은동로 87번길 89(노은1동 주민센터) 노은1동 주민센터 3층 옥상,127.318439,36.36826639,정좌표,042,26,0101000020E610000057B1F84D61D45F400CA2625A232F4240,62,0.083,0.01,0.3,0.003
267,부산,덕포동,부산 사상구 삼덕로 83 덕포초등학교 운동장 북서쪽 화단 (덕포동),128.9862638,35.17360006,정좌표,051,35,0101000020E610000051C719798F1F60404E24DA8638964140,80,0.075,0.024,0.4,0.004
